"Modules","Category","SubCategory","ModelCode","Units","Description","Value","RefID","Comment","ValueType","MinValue","MaxValue","Temp","DataSource","DataTable","MayBeNonNumeric","ParameterCode"
,,,"SiteID","NA","Site number",,,"Current value stored in temp field",,,,"",,"tbl_Model_Parameters:System",0,"SiteID"
,,,"SiteLatitude","[degrees]","Site latitude","Specific",,,,,,"",,"Fate_constant:Site",0,"SiteLatitude"
,,,"SiteSeed","NA","Random seed for each site","55403126",,,,,,"",,"tbl_Model_Parameters:System",0,"SiteSeed"
,,,"SMb","[volume %]","Soil moisture coefficient","Specific",,,,,,"",,"Fate_constant:Soil",0,"SMb"
,,,"SMFC","[volume %]","Soil moisture field capacity","Specific",,,,,,"",,"Fate_constant:SoilGroup",0,"SMFC"
,,,"SMWP","[volume %]","Soil moisture wilting point","Specific",,,,,,"",,"Fate_constant:SoilGroup",0,"SMWP"
,,,"solid","[mass %]","Percent solids in land applied biosolids","Specific",,,,,,"",,"Fate_constant:Waste",0,"%solids"
,,,"SrcID","NA","Type of waste management unit","Specific",,,,,,"",,"Fate_constant:Scenario",0,"SrcID"
,,,"SrcLWSNumSubArea","NA","Number of  local watershed subareas","Specific",,,,,,"",,"Fate_constant:System",0,"SrcLWSNumSubArea"
,,,"SrcLWSSubAreaIndex","NA","Local watershed subarea containing field","Specific",,,,,,"",,"Fate_constant:System",0,"SrcLWSSubAreaIndex"
,,,"SrcNumLWS","NA","Number of local watersheds","Specific",,,,,,"",,"Fate_constant:System",0,"SrcNumLWS"
,,,"SrcType","NA","One of {LAU, LF, WP, AT, SI}","Specific",,"Current value stored in temp field",,,,"",,"tbl_Model_Parameters:System",0,"SrcType"
,,,"SrcTypeID","NA","1 = crop, 2 = pasture, 3 = reclamation","Specific",,"Current value stored in temp field",,,,"",,"tbl_Model_Parameters:System",0,"SrcTypeID"
,,,"Ss","[mass %]","Silt content of soil","Specific",,,,,,"",,"Fate_constant:Soil",0,"Ss"
,,,"Sw","[mass %]","Silt content of biosolids","Specific",,,,,,"",,"Fate_constant:Waste",0,"Sw"
,,,"td","[yrs]","Time period of deposition","Specific",,,,,,"","Chosen to ensure that the receptor always began exposure sometime during the operating life of the unit","Fate_constant:Constant",0,"td"
,,,"TermFrac","[fraction]","Peak output fraction for simulation termination","Specific",,,,,,"",,"Fate_constant:System",0,"TermFrac"
,,,"Theta","[degrees]","Slope of watershed","Specific",,,,,,"",,"Fate_constant:Soil",0,"Theta"
,,,"Theta_water","[empirical]","Temperature correction factor","Specific",,,,,,"",,"Fate_constant:Constant",0,"Theta_water"
,,,"thetawZ1d","[volume fraction]","Volumetric water content in field till zone (for debugging)","Specific",,,,,,"",,"Fate_constant:System",0,"thetawZ1d"
,,,"thetawZ2d","[volume fraction]","Volumetric water content in field subsoil zone (for debugging)","Specific",,,,,,"",,"Fate_constant:System",0,"thetawZ2d"
,,,"Tilled","NA","Flag for whether waste is tilled (1) or not (0)","Specific",,,,,,"",,"Fate_constant:System",0,"Tilled"
,,,"Twater1","[deg K]","Waterbody temperature (January)","Specific",,,,,,"",,"Fate_constant:Regional",0,"Twater01"
,,,"Twater10","[deg K]","Waterbody temperature (October)","Specific",,,,,,"",,"Fate_constant:Regional",0,"Twater10"
,,,"Twater11","[deg K]","Waterbody temperature (November)","Specific",,,,,,"",,"Fate_constant:Regional",0,"Twater11"
,,,"Twater12","[deg K]","Waterbody temperature (December)","Specific",,,,,,"",,"Fate_constant:Regional",0,"Twater12"
,,,"Twater2","[deg K]","Waterbody temperature (February)","Specific",,,,,,"",,"Fate_constant:Regional",0,"Twater02"
